_id,name,country,aqi,pm25,pm10,no2,co,o3,so2,humidity,temperature,wind,update_time,lat,lon,saved_at,population,area
67f34e44b934fc4abad823d4,Ninh Thuận,Vietnam,53,53,37,0,0,11,1,N/A,N/A,N/A,2025-04-07 10:00:00,11.5667,108.9833,11:02 07/04/2025,,
67f34e44b934fc4abad823d6,H.C.Andersens Boulevard,Denmark,35,35,11,1.4,1.5,27.5,0.1,89,2.7,0.2,2025-04-07 03:00:00,55.6759,12.5727,11:02 07/04/2025,,
67f34e44b934fc4abad823d9,"Udsigten, Morud",Denmark,-,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:09:22,55.2667,10.5167,11:02 07/04/2025,,
67f34e44b934fc4abad823d8,Risø,Denmark,31,N/A,8,1.4,1.5,30.9,N/A,86,1.5,3.3,2025-04-07 03:00:00,55.6931,12.099,11:02 07/04/2025,,
67f34e44b934fc4abad823da,"Møllebjergvej, Rudkøbing",Denmark,-,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:08:07,54.9404,10.7096,11:02 07/04/2025,,
67f34e45b934fc4abad823db,H.C. Ørsted Institutet,Denmark,30,N/A,N/A,1.4,1.3,29.6,N/A,89,2.7,0.2,2025-04-07 04:00:00,55.6969,12.5596,11:02 07/04/2025,,
67f34e45b934fc4abad823dd,"Møllen, Skanderborg",Denmark,-,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:09:56,56.0349,9.9272,11:02 07/04/2025,,
67f34e45b934fc4abad823e0,"Bøgehegnet, Greve Strand",Denmark,-,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:04:10,55.5833,12.3,11:02 07/04/2025,,
67f34e44b934fc4abad823d3,Bình Phước,Vietnam,43,43,26,0,0,15,1,N/A,N/A,N/A,2025-04-07 10:00:00,11.4833,106.9167,11:02 07/04/2025,,
67f34e45b934fc4abad823de,"Kjærslund, Aarhus",Denmark,-,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:08:17,56.1567,10.2108,11:02 07/04/2025,,
67f34e45b934fc4abad823dc,"Midtvej, Hobro",Denmark,-,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:07:56,56.6431,9.7939,11:02 07/04/2025,,
67f34e44b934fc4abad823ce,Đà Nẵng,Vietnam,106,106,73,N/A,N/A,N/A,N/A,80.5,23.5,0.2,2025-04-04 09:00:00,16.06,108.2208,11:02 07/04/2025,,
67f34e45b934fc4abad823df,"Rådhus, Odense",Denmark,15,N/A,N/A,1,N/A,15,N/A,N/A,N/A,N/A,2025-04-07 02:00:00,55.3962,10.3883,11:02 07/04/2025,,
67f34e45b934fc4abad823e1,"Østerbro, Aalborg",Denmark,12,N/A,N/A,1,N/A,12,N/A,N/A,N/A,N/A,2025-04-07 02:00:00,57.0488,9.9217,11:02 07/04/2025,,
67f35297648a49fbfea13343,Nha Trang,Vietnam,58,58,39,10,4,10,72,83,25,2,2025-04-07 04:00:00,12.2388,109.1967,11:20 07/04/2025,,
67f35297648a49fbfea13341,Hà Nội,Vietnam,155,155,69,5,0,3,1,N/A,N/A,N/A,2025-04-07 11:00:00,21.0044,105.8432,11:20 07/04/2025,,
67f35297648a49fbfea13344,Vũng Tàu,Vietnam,40,40,29,7,3,22,3,56.5,32.5,2.5,2025-04-07 11:00:00,10.346,107.0843,11:20 07/04/2025,,
67f35297648a49fbfea13342,Trà Vinh,Vietnam,60,60,43,5,7,25,8,N/A,N/A,N/A,2025-04-07 11:00:00,9.9472,106.342,11:20 07/04/2025,,
67f35298648a49fbfea13345,Thanh Hoá,Vietnam,21,21,12,N/A,3,N/A,25,91.8,21.8,1,2025-04-07 11:00:00,19.807,105.776,11:20 07/04/2025,,
67f35298648a49fbfea13346,Cần Thơ,Vietnam,33,N/A,33,42,1,3,N/A,62,32,5.6,2025-04-07 10:00:00,10.0452,105.7469,11:20 07/04/2025,,
67f35298648a49fbfea1334b,Lạng Sơn,Vietnam,68,68,35,6,5,2,6,95.1,19.8,1,2025-04-07 11:00:00,21.8549,106.7615,11:20 07/04/2025,,
67f35298648a49fbfea13347,Bình Dương,Vietnam,53,45,53,3,0,10,0,N/A,N/A,N/A,2025-04-07 11:00:00,11.3254,106.477,11:20 07/04/2025,,
67f35298648a49fbfea1334a,Long An,Vietnam,60,60,29,4,0,13,1,N/A,N/A,N/A,2025-04-07 11:00:00,10.5333,106.4167,11:20 07/04/2025,,
67f35298648a49fbfea13348,Tp Hồ Chí Minh,Vietnam,9,9,9,N/A,N/A,N/A,N/A,56.5,32.5,2.5,2025-04-07 10:00:00,10.7769,106.7009,11:20 07/04/2025,,
67f35298648a49fbfea13349,Quảng Bình,Vietnam,57,57,35,117,3,3,2,84.3,23.4,1,2025-04-07 11:00:00,17.4656,106.6222,11:20 07/04/2025,,
67f35298648a49fbfea1334c,Nghệ An,Vietnam,56,56,34,56,8,2,43,85.8,22.3,1,2025-04-07 10:00:00,18.6667,105.6667,11:20 07/04/2025,,
67f35298648a49fbfea1334d,Thừa Thiên Huế,Vietnam,37,37,24,6,9,3,26,85.5,24.5,1.5,2025-04-07 10:00:00,16.4667,107.5833,11:20 07/04/2025,,
67f35298648a49fbfea1334f,Việt Trì,Vietnam,99,99,58,19,N/A,18,13,94,21,2.8,2025-04-07 11:00:00,21.301,105.401,11:20 07/04/2025,,
67f35298648a49fbfea1334e,Sơn La,Vietnam,12,12,8,N/A,N/A,N/A,N/A,87.3,21.5,1,2025-04-07 10:00:00,21.3167,103.9167,11:20 07/04/2025,,
67f35298648a49fbfea13351,Thái Nguyên,Vietnam,-,65,67,12,5,N/A,2,94,21,2.8,2025-04-07 11:00:00,21.5928,105.8442,11:20 07/04/2025,,
67f35298648a49fbfea13350,Hưng Yên,Vietnam,106,106,65,2,0,13,1,N/A,N/A,N/A,2025-04-07 11:00:00,20.6464,106.0511,11:20 07/04/2025,,
